v(g),n,v,l,d,i,e,t,n1,n2,N1,N2,result
15,268,1613.994574,0.03,36.56,44.14,59011.68,3278.43,25,40,151,117,1
37,1019,6813.544037,0.01,81.71,83.39,556731,30929.5,29,74,602,417,1
24,155,807.4652717,0.03,32.94,24.51,26598.86,1477.71,20,17,99,56,1
26,223,1447.68324,0.04,25.5,56.77,36915.92,2050.88,34,56,139,84,1
6,85,425,0.07,13.68,31.06,5815.79,323.1,13,19,45,40,1
6,117,614.0075191,0.04,23,26.7,14122.17,784.57,19,19,71,46,1
2,40,178.3772647,0.1,10.11,17.64,1803.59,100.2,13,9,26,14,1
7,264,1607.09019,0.04,27.03,59.45,43442.73,2413.48,21,47,143,121,1
5,87,459.829993,0.18,5.7,80.67,2621.03,145.61,9,30,49,38,1
4,93,488.0572588,0.07,14.91,32.74,7276.49,404.25,16,22,52,41,1
6,173,971.344803,0.05,18.59,52.24,18060.94,1003.39,17,32,103,70,1
3,215,1166.646922,0.04,25.5,45.75,29749.5,1652.75,17,26,137,78,1
74,1368,9621.722666,0.02,44.62,215.66,429283.47,23849.08,19,112,842,526,1
2,600,3748.756508,0.03,34.4,108.98,128957.22,7164.29,16,60,342,258,1
9,125,669.6940006,0.04,24.89,26.9,16671.86,926.21,22,19,82,43,1
77,1752,14374.40864,0.02,59.95,239.78,861706.49,47872.58,39,256,965,787,1
1,7,19.65148445,0.5,2,9.83,39.3,2.18,4,3,4,3,1
6,66,257.8547793,0.04,24.75,10.42,6381.91,354.55,11,4,48,18,1
1,88,398.0734521,0.05,19.5,20.41,7762.43,431.25,13,10,58,30,1
25,2049,15997.27024,0.01,106.91,149.63,1710253.62,95014.09,48,176,1265,784,1
14,155,904.0979522,0.03,29.25,30.91,26444.87,1469.16,27,30,90,65,1
7,277,1878.436641,0.02,44.83,41.9,84205.78,4678.1,52,58,177,100,1
7,324,2048.304703,0.04,28.25,72.52,57855.62,3214.2,23,57,184,140,1
8,390,2531.822708,0.04,27.5,92.07,69625.12,3868.06,22,68,220,170,1
19,1743,12426.3403,0.03,35.06,354.41,435698.56,24205.48,12,128,995,748,1
2,232,1347.306342,0.06,16.09,83.73,21679.38,1204.41,12,44,114,118,1
14,277,1674.297171,0.03,32.36,51.74,54181.04,3010.06,23,43,156,121,1
13,228,1341.242615,0.06,18.01,74.46,24158.33,1342.13,17,42,139,89,1
23,515,3538.237831,0.02,56.36,62.78,199427.95,11079.33,40,77,298,217,1
23,703,4812.379506,0.02,49.53,97.16,238361.32,13242.3,34,81,467,236,1
16,134,675,0.04,28.5,23.51,19095,1060.83,19,13,96,39,1
20,531,3614.705464,0.03,39.13,92.37,141452.57,7858.48,29,83,307,224,1
31,330,1890.21375,0.03,37.73,50.09,71326.03,3962.56,21,32,215,115,1
15,327,1795.835962,0.02,40.92,43.88,73491.13,4082.84,19,26,215,112,1
36,619,3656.365279,0.03,34.83,104.97,127363.39,7075.74,15,45,410,209,1
37,725,4877.74233,0.02,53.49,91.19,260896.68,14494.26,28,78,427,298,1
16,440,2402.149912,0.02,44.57,53.9,107055.81,5947.55,14,30,249,191,1
13,215,1259.465914,0.04,23.63,53.3,29758.92,1653.27,19,39,118,97,1
23,220,1222.009547,0.05,20.9,58.46,25543.94,1419.11,16,31,139,81,1
2,53,225.1401582,0.08,13.06,17.24,2940.89,163.38,11,8,34,19,1
25,579,3617.55003,0.03,30.27,119.52,109491.18,6082.84,16,60,352,227,1
19,267,1595.93374,0.04,26.56,60.1,42382.92,2354.61,19,44,144,123,1
15,333,1828.787081,0.03,34.48,53.03,63061.62,3503.42,16,29,208,125,1
75,1477,11180.01307,0.02,63.05,176.24,700659.82,38925.55,32,152,887,599,1
19,420,2574.298867,0.02,43.83,58.74,112821.45,6267.86,24,46,252,168,1
13,367,2140.670635,0.03,38.03,56.29,81406.65,4522.59,22,35,246,121,1
8,75,385.4360569,0.04,22.67,15.55,7990.75,443.93,17,9,58,24,1
23,296,1733.962375,0.08,12.4,139.86,21497.59,1194.31,9,49,161,135,1
10,320,2034.416641,0.04,27.29,74.55,55515.44,3084.19,23,59,180,140,1
18,350,2193.375289,0.05,21.97,99.85,48179.9,2676.66,18,59,206,144,1
13,381,2250.525317,0.02,56.88,39.57,127998.63,7111.03,28,32,251,130,1
12,430,2954.256829,0.06,17.6,167.9,51980.15,2887.79,17,100,223,207,1
18,135,727.9628521,0.05,20.24,35.97,14733.34,818.52,19,23,86,49,1
16,285,1624.62532,0.03,37.26,43.6,60530.39,3362.8,21,31,175,110,1
27,1009,7396.89513,0.02,41.1,179.95,304045.51,16891.42,27,134,601,408,1
1,27,110.3614967,0.24,4.2,26.28,463.52,25.75,7,10,15,12,1
2,440,2732.159481,0.04,22.48,121.52,61428.8,3412.71,13,61,229,211,1
15,334,2157.450161,0.02,50.92,42.37,109857.36,6103.19,38,50,200,134,1
19,1264,8258.829436,0.01,100.4,82.13,827903.14,45994.62,30,62,851,415,1
10,336,2023.515585,0.02,43,47.06,87011.17,4833.95,26,39,207,129,1
11,493,3184.499788,0.03,30.83,103.28,98188.74,5454.93,22,66,308,185,1
1,178,1134.757019,0.45,2.2,515.21,2499.34,138.85,4,79,91,87,1
4,130,701.001265,0.08,12.5,56.08,8762.52,486.81,14,28,80,50,1
11,276,1661.220771,0.03,37.51,43.63,61406.52,3411.47,27,35,178,101,1
76,1614,11651.73799,0.01,172.09,67.71,2005123.26,111395.74,58,91,1074,540,1
4,77,420.3762346,0.07,14.61,28.78,6141.15,341.17,21,23,45,32,1
4,1294,9129.535472,0.02,50,182.59,456476.77,25359.82,20,113,729,565,1
20,362,2268.576728,0.04,25.69,88.31,58274.06,3237.45,21,56,225,137,1
9,207,1196.741461,0.03,30,39.89,35902.24,1994.57,25,30,135,72,1
10,472,3438.709847,0.01,69.04,49.81,237396.79,13188.71,74,82,319,153,1
14,462,2929.010701,0.03,29.93,97.88,87650.65,4869.48,21,60,291,171,1
29,1084,7575.7342,0.04,27.34,277.1,207113.99,11506.33,12,115,560,524,1
11,125,660.6752774,0.04,23.33,28.31,15415.76,856.43,21,18,85,40,1
70,878,5434.665963,0.02,48.12,112.95,261494.78,14527.49,17,56,561,317,1
4,137,756.727988,0.06,16.19,46.75,12247.78,680.43,19,27,91,46,1
37,3896,31233.48509,0.01,133.13,234.62,4157975.43,230998.66,44,215,2595,1301,1
56,631,4614.429145,0.04,25.61,180.19,118171.02,6565.06,26,133,369,262,1
21,345,2266.600185,0.05,21.1,107.44,47815.95,2656.44,22,73,205,140,1
21,1779,13686.7133,0.02,51.85,263.95,709716.25,39428.68,25,182,1024,755,1
18,2158,16602.54485,0.02,62.49,265.68,1037522.97,57640.16,24,183,1205,953,1
39,695,4757.615585,0.03,30.71,154.91,146112.75,8117.38,18,97,364,331,1
44,716,4624.953039,0.02,41.37,111.79,191348.8,10630.49,21,67,452,264,1
9,171,1022.114867,0.05,21.85,46.79,22329.28,1240.52,24,39,100,71,1
25,715,4558.153193,0.02,47.53,95.89,216664.22,12036.9,23,60,467,248,1
25,346,2148.470865,0.03,39.81,53.96,85536,4752,26,48,199,147,1
27,456,2952.934445,0.04,28.4,103.97,83867.81,4659.32,23,66,293,163,1
9,349,2230.918781,0.04,28.09,79.42,62666.87,3481.49,23,61,200,149,1
85,733,5147.395607,0.04,24.56,209.56,126435.8,7024.21,19,111,446,287,1
49,900,6359.480271,0.02,42.55,149.47,270569.63,15031.65,25,109,529,371,1
273,1644,15938.95531,0.01,140.51,113.44,2239582.39,124421.27,280,549,1093,551,1
4,242,1417.631401,0.05,21.15,67.03,29982.9,1665.72,18,40,148,94,1
82,1359,10159.52173,0.01,140.64,72.24,1428851.32,79380.63,65,113,870,489,1
68,1189,7864.890005,0.01,95.8,82.1,753456.46,41858.69,28,70,710,479,1
68,775,6080.254789,0.01,69.28,87.76,421241.6,23402.31,73,157,477,298,1
33,714,4757.439269,0.02,52.11,91.03,247200.17,13733.34,28,74,449,264,1
64,956,7456.02079,0.01,71.42,104.06,530873.29,29492.96,61,158,589,370,1
15,314,1891.023493,0.03,33.77,56,63855.03,3547.5,22,43,182,132,1
20,327,2010.967308,0.04,27.61,72.83,55527.32,3084.85,22,49,204,123,1
33,1180,8312.385061,0.02,47.68,174.35,396298.57,22016.59,21,111,676,504,1
11,255,1493.785154,0.04,26.96,55.41,40271.64,2237.31,21,37,160,95,1
13,660,4273.984064,0.03,38.42,111.25,164197.54,9122.09,22,67,426,234,1
2,222,1211.993819,0.03,30.02,40.37,36384.05,2021.34,19,25,143,79,1
82,2113,16396.42708,0.01,195,83.89,3189755.94,177208.63,78,136,1438,680,1
2,77,377.8305759,0.08,13,29.06,4911.8,272.88,15,15,51,26,1
23,843,6394.123388,0.04,27.43,233.12,175381.67,9743.43,24,168,459,384,1
34,3281,28092.71739,0.02,49.3,569.78,1385089.67,76949.43,23,355,1759,1522,1
173,2869,22597.72712,0.01,112.1,201.58,2533263.14,140736.84,40,195,1776,1093,1
27,1579,11964.76012,0.02,46.27,258.56,553655.03,30758.61,23,168,903,676,1
19,685,5009.324824,0.02,46.32,108.14,232043.52,12891.31,38,121,390,295,1
94,1780,13527.84486,0.02,58.04,233.07,785182.04,43621.22,27,167,1062,718,1
24,438,2637.797102,0.03,30.06,87.74,79302.28,4405.68,18,47,281,157,1
286,5392,55140.81454,0.01,188.01,293.29,10367010.97,575945.03,172,1026,3149,2243,1
127,5669,46943.6895,0,215.17,218.17,10100866.9,561159.25,49,262,3368,2301,1
104,1822,14201.42571,0.01,133.52,106.36,1896161.7,105342.32,65,157,1177,645,1
207,3848,33034.9357,0,269.46,122.6,8901671.32,494537.33,105,279,2416,1432,1
268,4828,44076.44009,0,213.53,202.98,9254819.86,514156.64,102,407,3172,1730,1
263,4308,35928.07381,0,337.36,106.5,12120796.16,673377.6,98,226,2752,1556,1
404,2033,20848.47308,0,206.01,101.2,4294926.45,238607.05,411,811,1220,813,1
470,8441,80843.07674,0,384.45,210.28,31079782.27,1726654.57,155,609,5420,3021,1
94,2702,19997.17624,0.01,174.22,114.78,3483952.81,193552.92,52,117,1918,784,0
2,47,212.6074119,0.22,4.59,46.28,976.67,54.26,7,16,26,21,0
6,2392,23407.74779,0.02,46.29,412.83,884499.69,49138.87,19,264,1496,1378,0
18,362,2295.025701,0.04,26.66,86.08,61187.72,3399.32,22,59,219,143,0
1,8,22.45883938,0.5,2,11.23,44.92,2.5,4,3,5,3,0
11,340,2076.898315,0.04,23.12,89.84,48013,2667.39,18,51,209,131,0
4,799,5508.959393,0.03,31.63,174.15,174268.57,9681.59,18,101,444,355,0
50,430,2655.864206,0.02,47.5,54.52,123006.86,6833.71,25,40,289,152,0
4,1211,8866.854923,0.03,30.05,295.05,266464.28,14803.57,15,145,630,581,0
1,2,2,0,0,0,0,0,2,0,2,0,0
3,219,1095,0.03,33.53,32.65,36714.71,2039.71,15,17,143,76,0
3,59,254.9937576,0.11,9,28.33,2294.94,127.5,9,11,37,22,0
25,446,2811.486214,0.02,44.21,63.59,124304.14,6905.79,25,54,255,191,0
3,64,325.5976218,0.12,8.05,40.46,2620.29,145.57,13,21,38,26,0
4,154,902.1290732,0.11,9.52,94.74,8589.84,477.21,12,46,81,73,0
6,96,507.398613,0.07,14.68,34.56,7449.53,413.86,17,22,58,38,0
3,52,244.4228653,0.11,9.33,26.19,2281.28,126.74,14,12,36,16,0
2,21,75.28421252,0.13,8,9.41,602.27,33.46,8,4,13,8,0
15,479,3028.203557,0.03,39.34,76.97,119135.9,6618.66,23,57,284,195,0
4,166,916.9112847,0.06,16.69,54.93,15306.5,850.36,15,31,97,69,0
4,55,233.6360132,0.07,14.08,16.59,3290.37,182.8,13,6,42,13,0
12,415,2584.959757,0.02,44.44,58.17,114869.15,6381.62,27,48,257,158,0
3,125,682.4289523,0.16,6.33,107.75,4322.05,240.11,8,36,68,57,0
16,226,1300.604575,0.04,23.24,55.98,30219.93,1678.88,20,34,147,79,0
26,485,2942.053257,0.02,42.24,69.64,124286.74,6904.82,18,49,255,230,0
18,727,4707.858204,0.02,49.85,94.45,234668.62,13037.15,24,65,457,270,0
3,80,388.6384796,0.06,17.23,22.55,6696.54,372.03,16,13,52,28,0
1,4,8,0.67,1.5,5.33,12,0.67,3,1,3,1,0
6,212,1029.891971,0.02,47.68,21.6,49103.78,2727.99,15,14,123,89,0
5,138,729.3855062,0.05,18.75,38.9,13675.98,759.78,15,24,78,60,0
1,2,2,0,0,0,0,0,2,0,2,0,0
12,262,1600.433408,0.04,25.28,63.32,40453.51,2247.42,22,47,154,108,0
19,351,2225.287351,0.04,27.41,81.19,60987.96,3388.22,22,59,204,147,0
2,17,58.81033752,0.14,7,8.4,411.67,22.87,7,4,9,8,0
30,413,2522.820601,0.01,68.76,36.69,173460.96,9636.72,32,37,254,159,0
1,43,179.3067751,0.1,10.21,17.55,1831.49,101.75,11,7,30,13,0
22,673,4896.831725,0.03,33.73,145.17,165181.32,9176.74,28,127,367,306,0
1,25,92.51099295,0.17,5.83,15.86,539.65,29.98,7,6,15,10,0
8,100,504.4394119,0.06,15.83,31.86,7986.96,443.72,15,18,62,38,0
1,7,19.65148445,0.5,2,9.83,39.3,2.18,4,3,4,3,0
1,23,89.8584837,0.13,8,11.23,718.87,39.94,10,5,15,8,0
1,65,298.0225625,0.09,11,27.09,3278.25,182.12,12,12,43,22,0
2,90,423.0395746,0.06,15.86,26.68,6708.2,372.68,12,14,53,37,0
22,305,1905.617892,0.03,29.51,64.58,56233.71,3124.09,23,53,169,136,0
16,138,696.1263885,0.03,29.22,23.82,20339.94,1130,17,16,83,55,0
13,188,1000.522482,0.03,39.81,25.13,39830.32,2212.8,19,21,100,88,0
4,121,643.9532995,0.05,21.55,29.88,13878.89,771.05,21,19,82,39,0
7,126,624.2287351,0.04,25.78,24.21,16093.4,894.08,15,16,71,55,0
3,26,104,0.11,9.17,11.35,953.33,52.96,10,6,15,11,0
14,125,660.6752774,0.04,22.29,29.65,14723.62,817.98,18,21,73,52,0
5,126,661.2388667,0.06,16.3,40.56,10781.07,598.95,15,23,76,50,0
6,132,660,0.05,20.74,31.83,13685.29,760.29,15,17,85,47,0
4,102,556.8620251,0.04,26.21,21.25,14593.06,810.73,27,17,69,33,0
9,548,3123.840966,0.02,55.31,56.48,172787.45,9599.3,20,32,371,177,0
4,48,207.4525486,0.13,7.77,26.69,1612.47,89.58,9,11,29,19,0
3,17,62.90747521,0.29,3.5,17.97,220.18,12.23,7,6,11,6,0
5,45,208.9735285,0.12,8.67,24.11,1811.1,100.62,13,12,29,16,0
40,589,3389.628739,0.01,112.07,30.25,379872.19,21104.01,25,29,329,260,0
1,11,38.05374781,0.25,4,9.51,152.21,8.46,8,3,8,3,0
42,948,6880.003675,0.02,44.02,156.31,302830.24,16823.9,28,125,555,393,0
36,772,5558.14705,0.03,38.46,144.51,213776.7,11876.48,29,118,459,313,0
7,52,220.8922307,0.23,4.38,50.38,968.53,53.81,6,13,33,19,0
3,197,1117.467792,0.1,10.29,108.64,11493.95,638.55,9,42,101,96,0
1,129,676.9826492,0.12,8.4,80.59,5686.65,315.93,8,30,66,63,0
10,327,1881.848213,0.03,34.75,54.15,65394.23,3633.01,18,36,188,139,0
3,131,753.8902628,0.11,8.86,85.12,6677.31,370.96,12,42,69,62,0
2,404,2616.196306,0.06,18.01,145.24,47126.42,2618.13,14,75,211,193,0
3,126,699.8781953,0.1,10.29,68.04,7198.75,399.93,12,35,66,60,0
3,106,578.6997516,0.11,9.38,61.73,5425.31,301.41,12,32,56,50,0
3,167,947.2950321,0.06,15.63,60.63,14801.48,822.3,15,36,92,75,0
4,168,868.5474002,0.04,25.77,33.7,22384.84,1243.6,14,22,87,81,0
9,80,388.6384796,0.05,22.15,17.54,8609.84,478.32,16,13,44,36,0
9,97,501.4827251,0.03,38.64,12.98,19375.47,1076.41,25,11,63,34,0
6,38,158.4571501,0.1,10.21,15.51,1618.53,89.92,11,7,25,13,0
3,71,367.0646751,0.16,6.15,59.65,2258.86,125.49,10,26,39,32,0
2,39,168.5551957,0.21,4.85,34.78,816.84,45.38,7,13,21,18,0
5,86,437.5218043,0.07,13.42,32.6,5872,326.22,15,19,52,34,0
7,252,1383.94698,0.02,52,26.61,71965.24,3998.07,24,21,161,91,0
24,287,1708.854341,0.02,40.89,41.8,69867.73,3881.54,27,35,181,106,0
4,71,341.3221995,0.06,17.31,19.72,5907.5,328.19,15,13,41,30,0
6,291,1334.224088,0.01,72.8,18.33,97131.51,5396.2,14,10,187,104,0
23,457,2380.720188,0.01,100.59,23.67,239472.44,13304.02,20,17,286,171,0
34,367,1611.980494,0.01,112.13,14.38,180743.31,10041.3,13,8,229,138,0
6,57,257.8430315,0.06,17.11,15.07,4411.98,245.11,14,9,35,22,0
9,120,518.6313714,0.03,39,13.3,20226.62,1123.7,13,7,78,42,0
4,48,207.4525486,0.1,9.82,21.13,2036.81,113.16,9,11,24,24,0
14,139,637.3097876,0.04,26.67,23.9,16994.93,944.16,15,9,107,32,0
2,35,151.2674833,0.1,10.21,14.81,1545.09,85.84,13,7,24,11,0
5,34,149.3387924,0.1,9.75,15.32,1456.05,80.89,13,8,22,12,0
1,8,24,0.33,3,8,72,4,6,2,6,2,0
3,36,165.05865,0.11,8.86,18.62,1463.02,81.28,13,11,21,15,0
33,194,1018.097938,0.09,10.89,93.46,11090,616.11,10,28,133,61,0
1,4,8,0.67,1.5,5.33,12,0.67,3,1,3,1,0
1,27,112.587975,0.1,10,11.26,1125.88,62.55,12,6,17,10,0
2,52,241.4805219,0.07,15,16.1,3622.21,201.23,15,10,32,20,0
2,47,215.4932375,0.08,12.5,17.24,2693.67,149.65,15,9,32,15,0
3,26,104,0.12,8.33,12.48,866.67,48.15,10,6,16,10,0
2,68,326.9001347,0.13,7.58,43.13,2477.56,137.64,9,19,36,32,0
7,140,745.0699333,0.06,16.2,45.99,12070.13,670.56,15,25,86,54,0
1,36,147.1486623,0.1,10,14.71,1471.49,81.75,10,7,22,14,0
4,82,360.1700287,0.06,16.36,22.01,5893.69,327.43,10,11,46,36,0
2,676,4491.246784,0.04,22.32,201.19,100260.48,5570.03,15,85,423,253,0
1,7,19.65148445,0.4,2.5,7.86,49.13,2.73,5,2,5,2,0
25,756,4919.892748,0.02,48.15,102.18,236892.84,13160.71,21,70,435,321,0
4,33,137.607525,0.08,11.79,11.68,1621.8,90.1,11,7,18,15,0
1,24,83.02635885,0.13,7.88,10.54,653.83,36.32,7,4,15,9,0
1,17,58.81033752,0.24,4.2,14,247,13.72,6,5,10,7,0
4,65,309.0676876,0.06,17.5,17.66,5408.68,300.48,15,12,37,28,0
2,30,127.4378254,0.24,4.08,31.21,520.37,28.91,7,12,16,14,0
2,37,162.5157446,0.11,9.35,17.38,1519.52,84.42,11,10,20,17,0
1,16,55.3509059,0.44,2.29,24.22,126.52,7.03,4,7,8,8,0
3,58,269.343659,0.14,7.03,38.31,1893.82,105.21,9,16,33,25,0
2,154,835.6447722,0.12,8.46,98.81,7067.17,392.62,8,35,80,74,0
60,702,4612.038637,0.03,39.73,116.09,183235.05,10179.72,21,74,422,280,0
2,59,292.2975823,0.14,7.26,40.24,2123,117.94,12,19,36,23,0
54,632,3972.374202,0.02,40.25,98.68,159904.89,8883.61,19,59,382,250,0
4,85,449.2591886,0.09,11.56,38.85,5194.56,288.59,15,24,48,37,0
1,16,55.3509059,0.34,2.92,18.98,161.44,8.97,5,6,9,7,0
4,99,530.3976485,0.06,17.33,30.61,9189.14,510.51,21,20,66,33,0
8,106,498.2466101,0.03,31.17,15.99,15528.69,862.7,17,9,73,33,0
2,19,72.33974352,0.25,4,18.08,289.36,16.07,7,7,11,8,0
1,8,20.67970001,0.5,2,10.34,41.36,2.3,4,2,6,2,0
1,21,77.70923408,0.33,3,25.9,233.13,12.95,6,7,14,7,0
5,96,471.0614972,0.05,19.5,24.16,9185.7,510.32,15,15,57,39,0
26,234,1253.667169,0.03,38,32.99,47639.35,2646.63,19,22,146,88,0
5,64,314.0409981,0.1,10.32,30.42,3242.01,180.11,13,17,37,27,0
5,87,453.2224428,0.07,13.74,32.99,6225.85,345.88,18,19,58,29,0
4,66,320.6267457,0.06,15.55,20.63,4984.29,276.9,18,11,47,19,0
2,57,250.3620931,0.05,18.69,13.4,4678.64,259.92,13,8,34,23,0
38,348,2200.030977,0.03,37.42,58.79,82331.93,4574,28,52,209,139,0
6,104,557.1854085,0.08,12.98,42.92,7232.7,401.82,15,26,59,45,0
2,41,182.8366964,0.08,12.25,14.93,2239.75,124.43,14,8,27,14,0
4,61,275.9372793,0.06,16.9,16.32,4663.34,259.07,13,10,35,26,0
5,72,356.7021343,0.08,12.66,28.18,4514.51,250.81,15,16,45,27,0
3,30,125.09775,0.11,8.75,14.3,1094.61,60.81,10,8,16,14,0
7,521,2877.775779,0.02,44.12,65.22,126970.96,7053.94,13,33,297,224,0
6,159,897.3731342,0.06,17.16,52.31,15395.56,855.31,18,32,98,61,0
5,68,336.8853491,0.05,18.21,18.5,6136.13,340.9,17,14,38,30,0
2,94,470,0.07,14.12,33.29,6635.29,368.63,15,17,62,32,0
8,885,6154.463735,0.02,52.98,116.17,326055.63,18114.2,30,94,553,332,0
3,36,150.1173001,0.13,7.5,20.02,1125.88,62.55,9,9,21,15,0
15,204,1113.72405,0.03,40,27.84,44548.96,2474.94,22,22,124,80,0
2,18,68.5323886,0.21,4.67,14.69,319.82,17.77,8,6,11,7,0
5,68,311.77745,0.05,18.9,16.5,5892.59,327.37,14,10,41,27,0
3,147,771.4453445,0.05,20.13,38.33,15525.34,862.52,14,24,78,69,0
1,11,34.86917502,0.4,2.5,13.95,87.17,4.84,5,4,7,4,0
2,16,62.51024953,0.25,4,15.63,250.04,13.89,8,7,9,7,0
2,16,62.51024953,0.25,4,15.63,250.04,13.89,8,7,9,7,0
1,11,34.86917502,0.5,2,17.43,69.74,3.87,4,5,6,5,0
7,102,514.5282002,0.04,25.11,20.49,12918.33,717.69,19,14,65,37,0
5,80,396.3357048,0.05,18.21,21.76,7218.97,401.05,17,14,50,30,0
7,102,514.5282002,0.04,25.11,20.49,12918.33,717.69,19,14,65,37,0
6,81,408.5959237,0.05,20.4,20.03,8335.36,463.08,18,15,47,34,0
6,81,408.5959237,0.05,20.4,20.03,8335.36,463.08,18,15,47,34,0
5,80,392.5512476,0.05,20.25,19.39,7949.16,441.62,18,12,53,27,0
6,77,377.8305759,0.06,15.5,24.38,5856.37,325.35,15,15,46,31,0
9,128,661.7504002,0.03,30,22.06,19852.51,1102.92,18,18,68,60,0
7,107,548.8332828,0.04,26.47,20.73,14527.94,807.11,18,17,57,50,0
7,109,563.5218252,0.04,25.5,22.1,14369.81,798.32,18,18,58,51,0
9,94,474.1730472,0.05,18.35,25.84,8702.47,483.47,16,17,55,39,0
2,18,68.5323886,0.16,6.25,10.97,428.33,23.8,10,4,13,5,0
3,24,98.09910819,0.14,7.14,13.73,700.71,38.93,10,7,14,10,0
4,32,135.9336804,0.13,7.78,17.48,1057.26,58.74,10,9,18,14,0
3,43,188.8696492,0.12,8.25,22.89,1558.17,86.57,11,10,28,15,0
15,190,950,0.02,41.37,22.97,39298.33,2183.24,17,15,117,73,0
6,68,323.3323501,0.08,12.07,26.78,3903.08,216.84,13,14,42,26,0
1,35,145.9473751,0.25,4,36.49,583.79,32.43,6,12,19,16,0
1,4,8,0.67,1.5,5.33,12,0.67,3,1,3,1,0
1,35,145.9473751,0.25,4,36.49,583.79,32.43,6,12,19,16,0
6,133,676.6325579,0.04,22.5,30.07,15224.23,845.79,18,16,93,40,0
1,13,44.97261104,0.33,3,14.99,134.92,7.5,6,5,8,5,0
2,18,66.60791493,0.18,5.63,11.84,374.67,20.81,9,4,13,5,0
2,18,66.60791493,0.18,5.63,11.84,374.67,20.81,9,4,13,5,0
13,108,596.5446913,0.08,12.8,46.61,7635.77,424.21,16,30,60,48,0
7,89,448.9510766,0.07,14.17,31.69,6360.14,353.34,15,18,55,34,0
2,18,66.60791493,0.18,5.63,11.84,374.67,20.81,9,4,13,5,0
2,18,66.60791493,0.18,5.63,11.84,374.67,20.81,9,4,13,5,0
2,18,66.60791493,0.18,5.63,11.84,374.67,20.81,9,4,13,5,0
2,18,66.60791493,0.18,5.63,11.84,374.67,20.81,9,4,13,5,0
3,22,89.92418251,0.16,6.42,14.01,577.01,32.06,11,6,15,7,0
1,18,66.60791493,0.2,5,13.32,333.04,18.5,10,3,15,3,0
1,17,60.94436251,0.22,4.5,13.54,274.25,15.24,9,3,14,3,0
3,25,100,0.16,6.43,15.56,642.86,35.71,9,7,15,10,0
1,16,57.35940001,0.22,4.5,12.75,258.12,14.34,9,3,13,3,0
2,57,264.6998028,0.09,10.61,24.95,2807.71,155.98,11,14,30,27,0
2,27,105.4860461,0.23,4.38,24.11,461.5,25.64,7,8,17,10,0
2,15,53.77443751,0.2,5,10.75,268.87,14.94,8,4,10,5,0
1,4,8,0.67,1.5,5.33,12,0.67,3,1,3,1,0
1,42,184.4773318,0.21,4.75,38.84,876.27,48.68,7,14,23,19,0
5,66,310.2290214,0.09,11.5,26.98,3567.63,198.2,13,13,43,23,0
3,127,616.9635864,0.04,24.11,25.59,14873.23,826.29,15,14,82,45,0
2,53,216.6355306,0.06,15.58,13.9,3375.9,187.55,11,6,36,17,0
8,132,707.1968646,0.06,18.06,39.15,12773.74,709.65,17,24,81,51,0
3,32,130.7988109,0.19,5.33,24.52,697.59,38.76,8,9,20,12,0
16,215,1173.777798,0.03,37.5,31.3,44016.67,2445.37,22,22,140,75,0
7,151,798.095735,0.05,21.64,36.89,17267.89,959.33,17,22,95,56,0
1,20,78.13781191,0.33,3,26.05,234.41,13.02,6,9,11,9,0
5,124,650.7430117,0.06,17.82,36.52,11595.06,644.17,16,22,75,49,0
7,75,371.5647233,0.07,13.59,27.34,5048.91,280.49,14,17,42,33,0
1,9,28.52932501,0.33,3,9.51,85.59,4.75,6,3,6,3,0
8,204,1126.806639,0.04,28.15,40.03,31717.52,1762.08,19,27,124,80,0
4,91,474.0602563,0.06,16.58,28.6,7857.55,436.53,17,20,52,39,0
2,37,162.5157446,0.13,7.7,21.11,1251.37,69.52,11,10,23,14,0
1,16,55.3509059,0.44,2.29,24.22,126.52,7.03,4,7,8,8,0
3,55,252.1729375,0.11,9.5,26.54,2395.64,133.09,12,12,36,19,0
6,124,641.0707002,0.06,17.6,36.42,11282.84,626.82,16,20,80,44,0
1,15,55.50659577,0.25,4,13.88,222.03,12.33,8,5,10,5,0
13,301,1633.305691,0.02,48.26,33.84,78824.75,4379.15,20,23,190,111,0
6,62,291.4272625,0.07,15.17,19.21,4419.98,245.55,14,12,36,26,0
4,80,403.5515295,0.11,9,44.84,3631.96,201.78,11,22,44,36,0
2,20,74.00879436,0.24,4.08,18.12,302.2,16.79,7,6,13,7,0
1,7,16.25349666,0.67,1.5,10.84,24.38,1.35,3,2,5,2,0
8,169,963.3743124,0.04,24.06,40.04,23181.19,1287.84,20,32,92,77,0
2,14,50.18947501,0.29,3.5,14.34,175.66,9.76,7,5,9,5,0
1,15,53.77443751,0.33,3,17.92,161.32,8.96,6,6,9,6,0
6,55,241.5774583,0.14,7.13,33.91,1721.24,95.62,9,12,36,19,0
5,60,263.5390454,0.09,10.91,24.16,2874.97,159.72,10,11,36,24,0
1,4,8,0.67,1.5,5.33,12,0.67,3,1,3,1,0
3,34,138.9737366,0.11,9.29,14.97,1290.47,71.69,10,7,21,13,0
1,6,15.509775,0.5,2,7.75,31.02,1.72,4,2,4,2,0
1,6,15.509775,0.5,2,7.75,31.02,1.72,4,2,4,2,0
1,10,31.69925001,0.33,3,10.57,95.1,5.28,6,3,7,3,0
1,14,48.43204266,0.33,3,16.14,145.3,8.07,6,5,9,5,0
